;Tweets;len;ID;Created;Source;Likes;RTs
135;Manggung 3 kali dalam sebulan, dan  apresiasinya tak berkurang sedikitpun, Terima kasih Semarang ! Tunggu album bar… https://t.co/vX5zp0BSfa;140;918874382348333000,00;2017-10-13 16:21:39+00:00;Twitter for Android;155;99
136;https://t.co/IWpqh0LyBe;23;918319303501291000,00;2017-10-12 03:35:58+00:00;Twitter for Android;64;59
137;"Jadwal kickoff akhir pekan ini : 

13 Oktober : Semarang
14 Oktober : SMAN 99 Jakarta
15 Oktober : Bekasi

Cek post… https://t.co/ruQeaoRes4";140;918155206029803000,00;2017-10-11 16:43:54+00:00;Twitter for Android;52;52
138;"RT @ShowcaseEvent: H-3 ➡ 13-15 Okt 2017 ICC #Semarang
@ UTC Convention Hotel w/ @payungteduh @BARASUARA @SCALLER_ID @BESIDEofficial *etc ht…";140;917771006667665000,00;2017-10-10 15:17:14+00:00;Twitter for Android;0;9
139;khusus pengguna XL, dan yg pada masih suka main RBT, kesempatan mendapat berbagai hadiah dengan mengaktifkan RBT 'A… https://t.co/uHVjsgN32W;140;917741332050755000,00;2017-10-10 13:19:19+00:00;Twitter for iPhone;24;10
140;😩😩 https://t.co/VGPL56pTVG;26;917383472410324000,00;2017-10-09 13:37:18+00:00;Twitter for iPhone;521;1017
141;Terima kasih @SynchronizeFest  #synchronizefest17 🙇🏻 Salah satu festival musik terbaik tanah air,semoga ada terus d… https://t.co/zFvPNg2xuo;140;917220846430691000,00;2017-10-09 02:51:05+00:00;Twitter for iPhone;77;46
142;Malam ini @SynchronizeFest ! Mari merayakan festival keberagaman musik Indonesia, 🇲🇨🇲🇨🇲🇨 | Dynamic Stage | 19:00… https://t.co/cOFRhBhzFF;137;916920387975258000,00;2017-10-08 06:57:10+00:00;Twitter for iPhone;44;21
143;Lampung ! Terima kasih atas antusiasme dan apresiasi-nya semalam ! 🙇🏻#MoccaxPayungTeduh #UrbanGigs… https://t.co/24czRzh4FJ;123;916808970160939000,00;2017-10-07 23:34:26+00:00;Twitter for iPhone;77;36
144;https://t.co/R42JVjmODo;23;916345152502771000,00;2017-10-06 16:51:23+00:00;Twitter for Android;229;166
145;"*Update kickoff akhir pekan ini : 

06 Oktober : CANCELED

07 Oktober : Lampung | 20:00

08 Oktober : Synchronize F… https://t.co/pRcu6egBK2";140;916118960931663000,00;2017-10-06 01:52:35+00:00;Twitter for Android;13;11
146;Single ke-2 akan meluncur dlm waktu dekat, sila follow akun Payung Teduh di @spotifyID utk update lagu2 terbaru dar… https://t.co/WjWIP5EKqA;140;915908273886265000,00;2017-10-05 11:55:23+00:00;Twitter for iPhone;94;87
147;"Jadwal kickoff akhir pekan ini : 

06 Oktober : Jakarta Timur
07 Oktober : Lampung
08 Oktober : Synchronized Fest,… https://t.co/1w8g3AbUPk";139;915842594822696000,00;2017-10-05 07:34:24+00:00;Twitter for Android;44;41
148;"Lampung full house! Terima kasih sudah rela berdesakan &amp;  terus bernyanyi bersama!Semalam yg belum bisa nonton, min… https://t.co/nr4kWPsPUt";144;914662099036520000,00;2017-10-02 01:23:32+00:00;Twitter for iPhone;75;48
149;"Kemarin sore di SMA 3 Semarang menyenangkan! Terima kasih ! 

Jumpa petang nanti di GOR Saburai, Lampung, on stage… https://t.co/gdQLIN6oKj";139;914289496006443000,00;2017-10-01 00:42:57+00:00;Twitter for iPhone;134;63
150;Terima kasih sudah rela menunggu dalam deras dan turut terus bernyanyi dalam guyuran hujan, Terima kasih Solo ! 🙇🏻 https://t.co/roTnM43heh;138;913797240904343000,00;2017-09-29 16:06:54+00:00;Twitter for iPhone;227;168
151;"Sampai jumpa akhir pekan ini :

29 September : Stadion Manahan, Solo 

30 September : SMAN 3, Semarang

01 Oktober… https://t.co/OD1JEJsOlw";139;913334411591950000,00;2017-09-28 09:27:47+00:00;Twitter for Android;83;76
152;Pagi Jakarta, Hujan, dan 'Kita Adalah Sisa-sisa Keikhlasan yang Tak Diikhlaskan' ( Live and Loud Session ) https://t.co/emedzJeZPB;130;912839806433976000,00;2017-09-27 00:42:24+00:00;Twitter for iPhone;103;133
153;Terima kasih Balikpapan ! Sangat berkesan, semoga bisa bersua kembali ✌🏼️🌞🏖🌊 https://t.co/mlouw0yR5T;100;911899684083347000,00;2017-09-24 10:26:41+00:00;Twitter for iPhone;99;49
154;RT @Nisamjd_: Terima kasih untuk sore ini. Selalu menyenangkan,selalu dirindukan 💙💙💙 https://t.co/H9F5fTa4ay;108;911894701258588000,00;2017-09-24 10:06:53+00:00;Twitter for iPhone;0;6
155;"Menunggu senja di Balikpapan, mari bernyanyi bersama sore ini 

📍 Pantai Kilang Mandiri 🏖🌞🌊 https://t.co/DKzS0hco3v";115;911838242395250000,00;2017-09-24 06:22:32+00:00;Twitter for iPhone;127;63
156;"Semalam Suroboyo pol-pol-an! Suwun, cuk ! #Passionville 
Sekarang kita bertolak ke Balikpapan, jumpa sore nanti di… https://t.co/BPGU5V82Sm";139;911713695251685000,00;2017-09-23 22:07:38+00:00;Twitter for iPhone;102;52
157;Surabaya malam ini ! On stage 21.00 | Free | 18+ | #Passionville https://t.co/YANdWQSQJv;88;911432117388636000,00;2017-09-23 03:28:45+00:00;Twitter for iPhone;61;47
158;@fadjroeL Maturnuwun bang Fadjroel 🙏🏻;37;911391889915383000,00;2017-09-23 00:48:54+00:00;Twitter for iPhone;3;0
159;"Terima kasih atas energinya Subang ! 👏🏻

Berlanjut nanti malam di Surabaya Town Square ✌🏼️ https://t.co/Wh0UzkqzcI";114;911386734289551000,00;2017-09-23 00:28:24+00:00;Twitter for iPhone;106;48
160;Sukses untuk tur kawan2 @moccaofficial yang dimulai hari ini di Seoul, Busan, dan berlanjut nanti ke Adelaide ! 🇲🇨🇲🇨🇲🇨;118;910733977387909000,00;2017-09-21 05:14:35+00:00;Twitter for iPhone;62;80
161;"Jadwal #payungteduh akhir pekan ini : 

22 September : Subang
23 September : Surabaya
24 September : Balikpapan 

c… https://t.co/B5M8Rll90P";140;910508320078753000,00;2017-09-20 14:17:54+00:00;Twitter for iPhone;78;75
162;Terima kasih Uda dan Uni #Generation_G Padang ! Jumpa lagi segera ! #UrbanGigs #UnreleasedProject #MOCCAxPAYUNGTEDUH https://t.co/b2faTRxx2M;140;909606734079000000,00;2017-09-18 02:35:19+00:00;Twitter for iPhone;50;20
163;Padang ! Malam ini di Lap. (RTH) Imam Bonjol, on stage jam 20.30 | Free | 18+ | #unreleasedproject #urbangigs… https://t.co/zOxcUyZnzr;134;909382105410428000,00;2017-09-17 11:42:44+00:00;Twitter for iPhone;42;20
164;"Terima kasih atas energinya SMAN 34 Jakarta! 
Jumpa esok di kota Padang #MoccaxPayungTeduh ! https://t.co/BMn24lelcU";116;909057003569299000,00;2017-09-16 14:10:53+00:00;Twitter for iPhone;87;40
165;https://t.co/W28iOeOw9u;23;908381808881942000,00;2017-09-14 17:27:54+00:00;Twitter for iPhone;197;188
166;#throwback Official Behind the Scene, 'Angin Pujaan Hujan' Yamaha Live and Loud Session.   https://t.co/8DKWrUsKwM;114;908203996078268000,00;2017-09-14 05:41:20+00:00;Twitter for iPhone;30;21
167;"Jadwal manggung pekan ini : 

16 September : SMAN 34, Jakarta 

17 September : UrbanGigs x Unreleased Project, Pada… https://t.co/OUExjv0nJA";140;907898638197596000,00;2017-09-13 09:27:57+00:00;Twitter for iPhone;36;29
168;RT @AdibHidayat: Untuk yang menunggu album baru @payungteduh. Ada sentuhan @Sillywhite juga rupanya. https://t.co/X9B2XM70Tl;124;907580131929055000,00;2017-09-12 12:22:20+00:00;Twitter for iPhone;0;9
169;RT @RollingStoneINA: Album Baru Payung Teduh Direncanakan Rilis November https://t.co/JScPucNdr4 https://t.co/6PqWN0J7Tv;120;907574168937406000,00;2017-09-12 11:58:38+00:00;Twitter for iPhone;0;145
170;"#Unrealeasedproject
Kemeriahan Selasa lalu (05/09) di Acara launching Urban Gigs Unrealeased… https://t.co/lNCOcb6yWV";117;907556526281424000,00;2017-09-12 10:48:32+00:00;Instagram;27;5
171;senang sekali bisa manggung di salah satu festival musik paling konsisten dan venue yang indah, Matur suksma… https://t.co/SOoZk5r6Hn;133;906914359376363000,00;2017-09-10 16:16:47+00:00;Twitter for iPhone;130;73
172;Suwun atas artikelnya mas @nuranwibisono @tirtoID sangat menyentil, sentimentil, dan menggugah 🙇🏻 https://t.co/wR86BpmCI1;121;906837721976422000,00;2017-09-10 11:12:15+00:00;Twitter for iPhone;71;65
173;"Terima kasih #BynamicFest Binus School, seru ! 
Lanjut sore ini di Burst Stage, Soundrenaline Bali, on stage jam 17… https://t.co/9OL1oA1JFr";140;906680539507068000,00;2017-09-10 00:47:40+00:00;Twitter for iPhone;35;25
174;"Terima kasih Medan sudah bernyanyi bersama semalam ! 
 Jumpa nanti di Bynamic Fest Binus School Serpong, on stage j… https://t.co/fLrFLK1hHy";140;906426595463667000,00;2017-09-09 07:58:35+00:00;Twitter for iPhone;53;32
175;RT @moccaofficial: Mocca X Payung Teduh: Menunggu Untuk Bertemu (Live) - https://t.co/xGULOJ2fZ0;96;906029893573500000,00;2017-09-08 05:42:14+00:00;Twitter for iPhone;0;147
176;Terima kasih @SpotifyID ! 🙌🏽 https://t.co/nBrjn7vfs6;52;905763970077794000,00;2017-09-07 12:05:33+00:00;Twitter for iPhone;32;17
177;"#BekasiClothing2017
Bekasi dibanjiri penonton malam itu (03/09), terima kasih atas animo dan… https://t.co/mMw54P9Hg1";117;905754155704352000,00;2017-09-07 11:26:33+00:00;Instagram;10;4
178;"Gigs #payungteduh pekan ini : 

8 September : Jakcloth Medan

9 September : Binus School, Serpong

10 September : S… https://t.co/M9i4WScpeW";140;905383893628366000,00;2017-09-06 10:55:16+00:00;Twitter for iPhone;47;33
179;RT @kumparan: Album kolaborasi @moccaofficial x @payungteduh hingga @BARASUARA x @SCALLER_ID! Penasaran? 🙌 https://t.co/UpT2kVcYmX https://…;140;905046152986279000,00;2017-09-05 12:33:12+00:00;Twitter for iPhone;0;61
180;"Official Music Video ""Akad"" sudah dapat disaksikan kembali di channel Youtube Payung Teduh… https://t.co/6h2MvB9t0V";115;904975432759427000,00;2017-09-05 07:52:11+00:00;Instagram;59;49
181;siaappp https://t.co/bxd1CcIY5e;31;904737330916818000,00;2017-09-04 16:06:03+00:00;Twitter for iPhone;16;10
182;"Tomorrow !
#UrbanGiGsXUnreleasedProject
#UnreleasedProject

Head to: https://t.co/zNOVcK4k3G to get the tickets and… https://t.co/bqthzt4FhX";140;904693195845419000,00;2017-09-04 13:10:40+00:00;Twitter for iPhone;16;15
183;Semalam di #Cravier2017 Riuh ! Sampai jumpa nanti malam di Summarecon Mal Bekasi #BekasiCloth , kita on stage jam 2… https://t.co/RmJ2FjD2dc;140;904151155462160000,00;2017-09-03 01:16:48+00:00;Twitter for iPhone;57;43
184;"#Semarang
Hujan deras tidak mengurangi apresiasi teman-teman di Semarang untuk menyaksikan kami… https://t.co/ZElT4wpRva";120;903915266400124000,00;2017-09-02 09:39:28+00:00;Instagram;29;22
185;@Caesar_Sesar1 Solo 29 September;32;903812745233014000,00;2017-09-02 02:52:05+00:00;Twitter for iPhone;10;8
186;Malam ini ! Jakarta #Cravier2017 Britama Arena Kelapa Gading, #payungteduh on stage jam 20.30 wib. https://t.co/YHtIQPwLoZ;122;903808825043542000,00;2017-09-02 02:36:30+00:00;Twitter for iPhone;28;31
187;"#Bandung
Keseruan kami minggu lalu berakhir di Cihampelas Walk Bandung (27/08), walau tampil… https://t.co/hIU3ys8DAA";117;903184532869931000,00;2017-08-31 09:15:47+00:00;Instagram;19;5
188;"#Yogyakarta 
Dari Cirebon kami bertolak menuju JOGJA dengan menggunakan Kereta Api. Tampil di… https://t.co/pK2WHKZaIA";118;903130679306723000,00;2017-08-31 05:41:47+00:00;Instagram;11;6
189;"#Yogyakarta
Usai dari Cirebon, dengan menggunakan kereta api kami bertolak menuju JOGJA, tampil… https://t.co/ny0Jc2YzQE";120;903123653084057000,00;2017-08-31 05:13:52+00:00;Instagram;24;10
190;"#Cirebon
Jumat lalu, melalui 4 jam perjalanan darat kami tiba di Cirebon untuk menghibur di… https://t.co/d5Iafy96Mq";116;903106201990434000,00;2017-08-31 04:04:32+00:00;Instagram;9;5
191;Semalam Semarang full house ! Matur suwun #JatengFair2017 dan teman2 semua yg hadir dan terus bernyanyi dalam hujan… https://t.co/t1sNfcN4Wz;140;903067180211642000,00;2017-08-31 01:29:28+00:00;Twitter for iPhone;45;48
192;@birumerahteam HTM PRPP Rp 15.000,-;35;902806694618570000,00;2017-08-30 08:14:23+00:00;Twitter for iPhone;0;0
193;Selesai cek tata suara di #JatengFair2017 sampai jumpa nanti malam di PRPP Semarang, on stage jam 21.30 wib https://t.co/qe7EH4ftPv;131;902805715525427000,00;2017-08-30 08:10:30+00:00;Twitter for iPhone;54;47
194;"Jadwal manggung #payungteduh pekan ini : 

30 Agustus : Jateng Fair, Semarang

2 September : Cravier 2017, Jakarta… https://t.co/74Asxn5ll5";139;902578202685485000,00;2017-08-29 17:06:27+00:00;Twitter for iPhone;58;70
195;Semarang ! Besok, 30 Agustus di PRPP Jateng Fair 2017, kita akan perform jam 21.30 , sampai jumpa ! #JatengFair2017 #payungteduh;128;902547794560409000,00;2017-08-29 15:05:37+00:00;Twitter for iPhone;36;63
196;"Hatur Nuhun Bandung ! 🙇🏻 MLDSPOT
#StageBusJazzTour https://t.co/NUcXBbyuGv";74;901845688845078000,00;2017-08-27 16:35:42+00:00;Twitter for iPhone;75;49
